x_H,Cf
-5.0000,0.00300000
-4.9624,0.00300000
-4.9248,0.00300000
-4.8872,0.00300000
-4.8496,0.00300000
-4.8120,0.00300000
-4.7744,0.00300000
-4.7368,0.00300000
-4.6992,0.00300000
-4.6617,0.00300000
-4.6241,0.00300000
-4.5865,0.00300000
-4.5489,0.00300000
-4.5113,0.00300000
-4.4737,0.00300000
-4.4361,0.00300000
-4.3985,0.00300000
-4.3609,0.00300000
-4.3233,0.00300000
-4.2857,0.00300000
-4.2481,0.00300000
-4.2105,0.00300000
-4.1729,0.00300000
-4.1353,0.00300000
-4.0977,0.00300000
-4.0602,0.00300000
-4.0226,0.00300000
-3.9850,0.00300000
-3.9474,0.00300000
-3.9098,0.00300000
-3.8722,0.00300000
-3.8346,0.00300000
-3.7970,0.00300000
-3.7594,0.00300000
-3.7218,0.00300000
-3.6842,0.00300000
-3.6466,0.00300000
-3.6090,0.00300000
-3.5714,0.00300000
-3.5338,0.00300000
-3.4962,0.00300000
-3.4586,0.00300000
-3.4211,0.00300000
-3.3835,0.00300000
-3.3459,0.00300000
-3.3083,0.00300000
-3.2707,0.00300000
-3.2331,0.00300000
-3.1955,0.00300000
-3.1579,0.00300000
-3.1203,0.00300000
-3.0827,0.00300000
-3.0451,0.00300000
-3.0075,0.00300000
-2.9699,0.00300000
-2.9323,0.00300000
-2.8947,0.00300000
-2.8571,0.00300000
-2.8195,0.00300000
-2.7820,0.00300000
-2.7444,0.00300000
-2.7068,0.00300000
-2.6692,0.00300000
-2.6316,0.00300000
-2.5940,0.00300000
-2.5564,0.00300000
-2.5188,0.00300000
-2.4812,0.00302271
-2.4436,0.00306811
-2.4060,0.00311345
-2.3684,0.00315869
-2.3308,0.00320378
-2.2932,0.00324868
-2.2556,0.00329336
-2.2180,0.00333777
-2.1805,0.00338186
-2.1429,0.00342561
-2.1053,0.00346897
-2.0677,0.00351189
-2.0301,0.00355435
-1.9925,0.00359630
-1.9549,0.00363770
-1.9173,0.00367852
-1.8797,0.00371871
-1.8421,0.00375825
-1.8045,0.00379709
-1.7669,0.00383520
-1.7293,0.00387254
-1.6917,0.00390908
-1.6541,0.00394479
-1.6165,0.00397964
-1.5789,0.00401358
-1.5414,0.00404660
-1.5038,0.00407865
-1.4662,0.00410972
-1.4286,0.00413977
-1.3910,0.00416877
-1.3534,0.00419670
-1.3158,0.00422354
-1.2782,0.00424925
-1.2406,0.00427382
-1.2030,0.00429722
-1.1654,0.00431943
-1.1278,0.00434043
-1.0902,0.00436020
-1.0526,0.00437872
-1.0150,0.00439598
-0.9774,0.00441196
-0.9398,0.00442664
-0.9023,0.00444002
-0.8647,0.00445207
-0.8271,0.00446280
-0.7895,0.00447218
-0.7519,0.00448021
-0.7143,0.00448688
-0.6767,0.00449220
-0.6391,0.00449614
-0.6015,0.00449871
-0.5639,0.00449991
-0.5263,0.00449973
-0.4887,0.00449817
-0.4511,0.00449525
-0.4135,0.00449095
-0.3759,0.00448528
-0.3383,0.00447825
-0.3008,0.00446987
-0.2632,0.00446014
-0.2256,0.00444906
-0.1880,0.00443667
-0.1504,0.00442295
-0.1128,0.00440793
-0.0752,0.00439161
-0.0376,0.00437402
0.0000,0.00435518
0.0376,0.00433508
0.0752,0.00431377
0.1128,0.00429125
0.1504,0.00426754
0.1880,0.00424268
0.2256,0.00421667
0.2632,0.00418955
0.3008,0.00416133
0.3383,0.00413205
0.3759,0.00410174
0.4135,0.00407041
0.4511,0.00403810
0.4887,0.00400484
0.5263,0.00397066
0.5639,0.00393559
0.6015,0.00389966
0.6391,0.00386291
0.6767,0.00382536
0.7143,0.00378706
0.7519,0.00374803
0.7895,0.00370832
0.8271,0.00366796
0.8647,0.00362699
0.9023,0.00358544
0.9398,0.00354336
0.9774,0.00350077
1.0150,0.00345773
1.0526,0.00341427
1.0902,0.00337043
1.1278,0.00332625
1.1654,0.00328177
1.2030,0.00323703
1.2406,0.00319207
1.2782,0.00314694
1.3158,0.00310167
1.3534,0.00305631
1.3910,0.00301090
1.4286,-0.00001994
1.4662,-0.00004617
1.5038,-0.00007234
1.5414,-0.00009843
1.5789,-0.00012442
1.6165,-0.00015028
1.6541,-0.00017597
1.6917,-0.00020147
1.7293,-0.00022676
1.7669,-0.00025180
1.8045,-0.00027657
1.8421,-0.00030105
1.8797,-0.00032520
1.9173,-0.00034900
1.9549,-0.00037242
1.9925,-0.00039545
2.0301,-0.00041804
2.0677,-0.00044019
2.1053,-0.00046187
2.1429,-0.00048304
2.1805,-0.00050370
2.2180,-0.00052382
2.2556,-0.00054337
2.2932,-0.00056234
2.3308,-0.00058070
2.3684,-0.00059843
2.4060,-0.00061553
2.4436,-0.00063196
2.4812,-0.00064771
2.5188,-0.00066276
2.5564,-0.00067710
2.5940,-0.00069071
2.6316,-0.00070358
2.6692,-0.00071569
2.7068,-0.00072703
2.7444,-0.00073759
2.7820,-0.00074735
2.8195,-0.00075631
2.8571,-0.00076446
2.8947,-0.00077178
2.9323,-0.00077827
2.9699,-0.00078393
3.0075,-0.00078874
3.0451,-0.00079270
3.0827,-0.00079581
3.1203,-0.00079807
3.1579,-0.00079946
3.1955,-0.00079999
3.2331,-0.00079967
3.2707,-0.00079848
3.3083,-0.00079643
3.3459,-0.00079353
3.3835,-0.00078977
3.4211,-0.00078516
3.4586,-0.00077971
3.4962,-0.00077342
3.5338,-0.00076629
3.5714,-0.00075834
3.6090,-0.00074958
3.6466,-0.00074000
3.6842,-0.00072964
3.7218,-0.00071848
3.7594,-0.00070656
3.7970,-0.00069387
3.8346,-0.00068043
3.8722,-0.00066627
3.9098,-0.00065138
3.9474,-0.00063580
3.9850,-0.00061953
4.0226,-0.00060260
4.0602,-0.00058501
4.0977,-0.00056680
4.1353,-0.00054797
4.1729,-0.00052856
4.2105,-0.00050858
4.2481,-0.00048805
4.2857,-0.00046699
4.3233,-0.00044544
4.3609,-0.00042340
4.3985,-0.00040091
4.4361,-0.00037799
4.4737,-0.00035465
4.5113,-0.00033094
4.5489,-0.00030687
4.5865,-0.00028248
4.6241,-0.00025777
4.6617,-0.00023279
4.6992,-0.00020756
4.7368,-0.00018211
4.7744,-0.00015646
4.8120,-0.00013064
4.8496,-0.00010468
4.8872,-0.00007861
4.9248,-0.00005245
4.9624,-0.00002624
5.0000,0.00000000
5.0376,0.00021729
5.0752,0.00041885
5.1128,0.00060580
5.1504,0.00077922
5.1880,0.00094007
5.2256,0.00108927
5.2632,0.00122767
5.3008,0.00135604
5.3383,0.00147511
5.3759,0.00158556
5.4135,0.00168801
5.4511,0.00178304
5.4887,0.00187118
5.5263,0.00195295
5.5639,0.00202878
5.6015,0.00209913
5.6391,0.00216438
5.6767,0.00222491
5.7143,0.00228105
5.7519,0.00233312
5.7895,0.00238142
5.8271,0.00242623
5.8647,0.00246779
5.9023,0.00250634
5.9398,0.00254209
5.9774,0.00257526
6.0150,0.00260602
6.0526,0.00263456
6.0902,0.00266103
6.1278,0.00268558
6.1654,0.00270835
