x_H,Cp
-5.0000,0.035355
-4.9624,0.034296
-4.9248,0.033207
-4.8872,0.032089
-4.8496,0.030943
-4.8120,0.029770
-4.7744,0.028571
-4.7368,0.027347
-4.6992,0.026100
-4.6617,0.024829
-4.6241,0.023537
-4.5865,0.022225
-4.5489,0.020893
-4.5113,0.019543
-4.4737,0.018175
-4.4361,0.016792
-4.3985,0.015395
-4.3609,0.013984
-4.3233,0.012560
-4.2857,0.011126
-4.2481,0.009682
-4.2105,0.008230
-4.1729,0.006770
-4.1353,0.005305
-4.0977,0.003835
-4.0602,0.002361
-4.0226,0.000886
-3.9850,-0.000591
-3.9474,-0.002066
-3.9098,-0.003540
-3.8722,-0.005011
-3.8346,-0.006478
-3.7970,-0.007938
-3.7594,-0.009392
-3.7218,-0.010838
-3.6842,-0.012274
-3.6466,-0.013700
-3.6090,-0.015113
-3.5714,-0.016514
-3.5338,-0.017900
-3.4962,-0.019270
-3.4586,-0.020624
-3.4211,-0.021960
-3.3835,-0.023276
-3.3459,-0.024573
-3.3083,-0.025847
-3.2707,-0.027100
-3.2331,-0.028328
-3.1955,-0.029533
-3.1579,-0.030712
-3.1203,-0.031865
-3.0827,-0.032993
-3.0451,-0.034096
-3.0075,-0.035179
-2.9699,-0.036248
-2.9323,-0.037313
-2.8947,-0.038394
-2.8571,-0.039520
-2.8195,-0.040736
-2.7820,-0.042105
-2.7444,-0.043714
-2.7068,-0.045676
-2.6692,-0.048134
-2.6316,-0.051257
-2.5940,-0.055238
-2.5564,-0.060286
-2.5188,-0.066614
-2.4812,-0.074425
-2.4436,-0.083898
-2.4060,-0.095174
-2.3684,-0.108345
-2.3308,-0.123443
-2.2932,-0.140439
-2.2556,-0.159245
-2.2180,-0.179717
-2.1805,-0.201665
-2.1429,-0.224861
-2.1053,-0.249054
-2.0677,-0.273974
-2.0301,-0.299346
-1.9925,-0.324895
-1.9549,-0.350351
-1.9173,-0.375455
-1.8797,-0.399958
-1.8421,-0.423627
-1.8045,-0.446247
-1.7669,-0.467614
-1.7293,-0.487545
-1.6917,-0.505871
-1.6541,-0.522441
-1.6165,-0.537123
-1.5789,-0.549797
-1.5414,-0.560365
-1.5038,-0.568743
-1.4662,-0.574865
-1.4286,-0.578681
-1.3910,-0.580161
-1.3534,-0.579289
-1.3158,-0.576066
-1.2782,-0.570512
-1.2406,-0.562662
-1.2030,-0.552569
-1.1654,-0.540303
-1.1278,-0.525952
-1.0902,-0.509618
-1.0526,-0.491422
-1.0150,-0.471503
-0.9774,-0.450015
-0.9398,-0.427130
-0.9023,-0.403035
-0.8647,-0.377937
-0.8271,-0.352056
-0.7895,-0.325627
-0.7519,-0.298902
-0.7143,-0.272144
-0.6767,-0.245624
-0.6391,-0.219618
-0.6015,-0.194404
-0.5639,-0.170248
-0.5263,-0.147402
-0.4887,-0.126087
-0.4511,-0.106490
-0.4135,-0.088746
-0.3759,-0.072936
-0.3383,-0.059079
-0.3008,-0.047132
-0.2632,-0.036993
-0.2256,-0.028508
-0.1880,-0.021482
-0.1504,-0.015694
-0.1128,-0.010900
-0.0752,-0.006854
-0.0376,-0.003303
0.0000,-0.000000
0.0376,0.003303
0.0752,0.006854
0.1128,0.010900
0.1504,0.015694
0.1880,0.021482
0.2256,0.028508
0.2632,0.036993
0.3008,0.047132
0.3383,0.059079
0.3759,0.072936
0.4135,0.088746
0.4511,0.106490
0.4887,0.126087
0.5263,0.147402
0.5639,0.170248
0.6015,0.194404
0.6391,0.219618
0.6767,0.245624
0.7143,0.272144
0.7519,0.298902
0.7895,0.325627
0.8271,0.352056
0.8647,0.377937
0.9023,0.403035
0.9398,0.427130
0.9774,0.450015
1.0150,0.471503
1.0526,0.491422
1.0902,0.509618
1.1278,0.525952
1.1654,0.540303
1.2030,0.425069
1.2406,0.435162
1.2782,0.443012
1.3158,0.448566
1.3534,0.451789
1.3910,0.452661
1.4286,0.451181
1.4662,0.447365
1.5038,0.441243
1.5414,0.432865
1.5789,0.422297
1.6165,0.409623
1.6541,0.394941
1.6917,0.378371
1.7293,0.360045
1.7669,0.340114
1.8045,0.318747
1.8421,0.296127
1.8797,0.272458
1.9173,0.247955
1.9549,0.222851
1.9925,0.197395
2.0301,0.171846
2.0677,0.146474
2.1053,0.121554
2.1429,0.097361
2.1805,0.074165
2.2180,0.052217
2.2556,0.031745
2.2932,0.012939
2.3308,-0.004057
2.3684,-0.019155
2.4060,-0.032326
2.4436,-0.043602
2.4812,-0.053075
2.5188,-0.060886
2.5564,-0.067214
2.5940,-0.072262
2.6316,-0.076243
2.6692,-0.079366
2.7068,-0.081824
2.7444,-0.083786
2.7820,-0.085395
2.8195,-0.086764
2.8571,-0.087980
2.8947,-0.089106
2.9323,-0.090187
2.9699,-0.091252
3.0075,-0.092321
3.0451,-0.093404
3.0827,-0.094507
3.1203,-0.095635
3.1579,-0.096788
3.1955,-0.097967
3.2331,-0.099172
3.2707,-0.100400
3.3083,-0.101653
3.3459,-0.102927
3.3835,-0.104224
3.4211,-0.105540
3.4586,-0.106876
3.4962,-0.108230
3.5338,-0.109600
3.5714,-0.110986
3.6090,-0.112387
3.6466,-0.113800
3.6842,-0.115226
3.7218,-0.116662
3.7594,-0.118108
3.7970,-0.119562
3.8346,-0.121022
3.8722,-0.122489
3.9098,-0.123960
3.9474,-0.125434
3.9850,-0.126909
4.0226,-0.128386
4.0602,-0.129861
4.0977,-0.131335
4.1353,-0.132805
4.1729,-0.134270
4.2105,-0.135730
4.2481,-0.137182
4.2857,-0.138626
4.3233,-0.140060
4.3609,-0.141484
4.3985,-0.142895
4.4361,-0.144292
4.4737,-0.145675
4.5113,-0.019543
4.5489,-0.020893
4.5865,-0.022225
4.6241,-0.023537
4.6617,-0.024829
4.6992,-0.026100
4.7368,-0.027347
4.7744,-0.028571
4.8120,-0.029770
4.8496,-0.030943
4.8872,-0.032089
4.9248,-0.033207
4.9624,-0.034296
5.0000,-0.035355
5.0376,-0.036384
5.0752,-0.037380
5.1128,-0.038344
5.1504,-0.039275
5.1880,-0.040171
5.2256,-0.041033
5.2632,-0.041858
5.3008,-0.042647
5.3383,-0.043399
5.3759,-0.044113
5.4135,-0.044789
5.4511,-0.045426
5.4887,-0.046023
5.5263,-0.046580
5.5639,-0.047096
5.6015,-0.047571
5.6391,-0.048005
5.6767,-0.048397
5.7143,-0.048746
5.7519,-0.049054
5.7895,-0.049318
5.8271,-0.049540
5.8647,-0.049718
5.9023,-0.049853
5.9398,-0.049944
5.9774,-0.049992
6.0150,-0.049997
6.0526,-0.049957
6.0902,-0.049875
6.1278,-0.049748
6.1654,-0.049579
6.2030,-0.049366
6.2406,-0.049110
6.2782,-0.048811
6.3158,-0.048470
6.3534,-0.048087
6.3910,-0.047661
6.4286,-0.047194
6.4662,-0.046686
6.5038,-0.046137
6.5414,-0.045548
6.5789,-0.044920
6.6165,-0.044252
6.6541,-0.043545
6.6917,-0.042801
6.7293,-0.042019
6.7669,-0.041201
6.8045,-0.040346
6.8421,-0.039457
6.8797,-0.038533
6.9173,-0.037576
6.9549,-0.036586
6.9925,-0.035564
7.0301,-0.034510
7.0677,-0.033427
7.1053,-0.032315
7.1429,-0.031174
7.1805,-0.030007
7.2180,-0.028813
7.2556,-0.027594
7.2932,-0.026351
7.3308,-0.025085
7.3684,-0.023797
7.4060,-0.022489
7.4436,-0.021161
7.4812,-0.019814
7.5188,-0.018450
7.5564,-0.017070
7.5940,-0.015675
7.6316,-0.014267
7.6692,-0.012846
7.7068,-0.011414
7.7444,-0.009972
7.7820,-0.008521
7.8195,-0.007063
7.8571,-0.005598
7.8947,-0.004129
7.9323,-0.002656
7.9699,-0.001181
8.0075,0.000295
8.0451,0.001771
8.0827,0.003246
8.1203,0.004717
8.1579,0.006185
8.1955,0.007647
8.2331,0.009102
8.2707,0.010550
8.3083,0.011988
8.3459,0.013416
8.3835,0.014832
8.4211,0.016235
8.4586,0.017624
8.4962,0.018998
8.5338,0.020355
8.5714,0.021694
8.6090,0.023015
8.6466,0.024315
8.6842,0.025594
8.7218,0.026851
8.7594,0.028085
8.7970,0.029294
8.8346,0.030477
8.8722,0.031634
8.9098,0.032763
8.9474,0.033864
8.9850,0.034935
9.0226,0.035976
9.0602,0.036986
9.0977,0.037963
9.1353,0.038907
9.1729,0.039817
9.2105,0.040692
9.2481,0.041532
9.2857,0.042336
9.3233,0.043103
9.3609,0.043832
9.3985,0.044523
9.4361,0.045176
9.4737,0.045789
9.5113,0.046362
9.5489,0.046894
9.5865,0.047386
9.6241,0.047836
9.6617,0.048245
9.6992,0.048612
9.7368,0.048936
9.7744,0.049217
9.8120,0.049456
9.8496,0.049652
9.8872,0.049804
9.9248,0.049913
9.9624,0.049978
10.0000,0.050000
