x_H,Cf
-5.0000,0.00247814
-4.9624,0.00247814
-4.9248,0.00247814
-4.8872,0.00247814
-4.8496,0.00247814
-4.8120,0.00247814
-4.7744,0.00247814
-4.7368,0.00247814
-4.6992,0.00247814
-4.6617,0.00247814
-4.6241,0.00247814
-4.5865,0.00247814
-4.5489,0.00247814
-4.5113,0.00247814
-4.4737,0.00247814
-4.4361,0.00247814
-4.3985,0.00247814
-4.3609,0.00247814
-4.3233,0.00247814
-4.2857,0.00247814
-4.2481,0.00247814
-4.2105,0.00247814
-4.1729,0.00247814
-4.1353,0.00247814
-4.0977,0.00247814
-4.0602,0.00247814
-4.0226,0.00247814
-3.9850,0.00247814
-3.9474,0.00247814
-3.9098,0.00247814
-3.8722,0.00247814
-3.8346,0.00247814
-3.7970,0.00247814
-3.7594,0.00247814
-3.7218,0.00247814
-3.6842,0.00247814
-3.6466,0.00247814
-3.6090,0.00247814
-3.5714,0.00247814
-3.5338,0.00247814
-3.4962,0.00247814
-3.4586,0.00247814
-3.4211,0.00247814
-3.3835,0.00247814
-3.3459,0.00247814
-3.3083,0.00247814
-3.2707,0.00247814
-3.2331,0.00247814
-3.1955,0.00247814
-3.1579,0.00247814
-3.1203,0.00247814
-3.0827,0.00247814
-3.0451,0.00247814
-3.0075,0.00247814
-2.9699,0.00247814
-2.9323,0.00247814
-2.8947,0.00247814
-2.8571,0.00247814
-2.8195,0.00247814
-2.7820,0.00247814
-2.7444,0.00247814
-2.7068,0.00247814
-2.6692,0.00247814
-2.6316,0.00247814
-2.5940,0.00247814
-2.5564,0.00247814
-2.5188,0.00247814
-2.4812,0.00249905
-2.4436,0.00254083
-2.4060,0.00258255
-2.3684,0.00262414
-2.3308,0.00266557
-2.2932,0.00270679
-2.2556,0.00274775
-2.2180,0.00278839
-2.1805,0.00282869
-2.1429,0.00286859
-2.1053,0.00290804
-2.0677,0.00294700
-2.0301,0.00298543
-1.9925,0.00302328
-1.9549,0.00306051
-1.9173,0.00309708
-1.8797,0.00313294
-1.8421,0.00316806
-1.8045,0.00320239
-1.7669,0.00323589
-1.7293,0.00326854
-1.6917,0.00330028
-1.6541,0.00333109
-1.6165,0.00336093
-1.5789,0.00338976
-1.5414,0.00341755
-1.5038,0.00344428
-1.4662,0.00346990
-1.4286,0.00349440
-1.3910,0.00351773
-1.3534,0.00353989
-1.3158,0.00356083
-1.2782,0.00358055
-1.2406,0.00359901
-1.2030,0.00361619
-1.1654,0.00363207
-1.1278,0.00364664
-1.0902,0.00365989
-1.0526,0.00367178
-1.0150,0.00368232
-0.9774,0.00369148
-0.9398,0.00369927
-0.9023,0.00370566
-0.8647,0.00371066
-0.8271,0.00371425
-0.7895,0.00371644
-0.7519,0.00371721
-0.7143,0.00371658
-0.6767,0.00371453
-0.6391,0.00371108
-0.6015,0.00370623
-0.5639,0.00369997
-0.5263,0.00369233
-0.4887,0.00368330
-0.4511,0.00367290
-0.4135,0.00366114
-0.3759,0.00364803
-0.3383,0.00363359
-0.3008,0.00361783
-0.2632,0.00360078
-0.2256,0.00358245
-0.1880,0.00356286
-0.1504,0.00354204
-0.1128,0.00352000
-0.0752,0.00349678
-0.0376,0.00347240
0.0000,0.00344689
0.0376,0.00342027
0.0752,0.00339259
0.1128,0.00336386
0.1504,0.00333412
0.1880,0.00330341
0.2256,0.00327175
0.2632,0.00323920
0.3008,0.00320578
0.3383,0.00317153
0.3759,0.00313649
0.4135,0.00310070
0.4511,0.00306420
0.4887,0.00302703
0.5263,0.00298924
0.5639,0.00295087
0.6015,0.00291196
0.6391,0.00287255
0.6767,0.00283270
0.7143,0.00279244
0.7519,0.00275183
0.7895,0.00271090
0.8271,0.00266971
0.8647,0.00262830
0.9023,0.00258672
0.9398,0.00254501
0.9774,0.00250323
1.0150,-0.00001260
1.0526,-0.00004407
1.0902,-0.00007547
1.1278,-0.00010676
1.1654,-0.00013788
1.2030,-0.00016879
1.2406,-0.00019944
