x_H,Cp
-5.0000,-0.069282
-4.9624,-0.068481
-4.9248,-0.067654
-4.8872,-0.066801
-4.8496,-0.065921
-4.8120,-0.065016
-4.7744,-0.064086
-4.7368,-0.063131
-4.6992,-0.062152
-4.6617,-0.061148
-4.6241,-0.060121
-4.5865,-0.059071
-4.5489,-0.057997
-4.5113,-0.056902
-4.4737,-0.055784
-4.4361,-0.054644
-4.3985,-0.053484
-4.3609,-0.052302
-4.3233,-0.051101
-4.2857,-0.049879
-4.2481,-0.048638
-4.2105,-0.047379
-4.1729,-0.046101
-4.1353,-0.044805
-4.0977,-0.043492
-4.0602,-0.042162
-4.0226,-0.040815
-3.9850,-0.039453
-3.9474,-0.038076
-3.9098,-0.036684
-3.8722,-0.035277
-3.8346,-0.033857
-3.7970,-0.032424
-3.7594,-0.030978
-3.7218,-0.029520
-3.6842,-0.028051
-3.6466,-0.026571
-3.6090,-0.025081
-3.5714,-0.023580
-3.5338,-0.022071
-3.4962,-0.020553
-3.4586,-0.019028
-3.4211,-0.017494
-3.3835,-0.015955
-3.3459,-0.014408
-3.3083,-0.012857
-3.2707,-0.011300
-3.2331,-0.009739
-3.1955,-0.008175
-3.1579,-0.006607
-3.1203,-0.005038
-3.0827,-0.003469
-3.0451,-0.001903
-3.0075,-0.000344
-2.9699,0.001201
-2.9323,0.002720
-2.8947,0.004196
-2.8571,0.005600
-2.8195,0.006894
-2.7820,0.008018
-2.7444,0.008896
-2.7068,0.009426
-2.6692,0.009481
-2.6316,0.008911
-2.5940,0.007543
-2.5564,0.005194
-2.5188,0.001673
-2.4812,-0.003199
-2.4436,-0.009583
-2.4060,-0.017602
-2.3684,-0.027339
-2.3308,-0.038823
-2.2932,-0.052030
-2.2556,-0.066883
-2.2180,-0.083255
-2.1805,-0.100979
-2.1429,-0.119856
-2.1053,-0.139664
-2.0677,-0.160166
-2.0301,-0.181120
-1.9925,-0.202283
-1.9549,-0.223418
-1.9173,-0.244297
-1.8797,-0.264701
-1.8421,-0.284425
-1.8045,-0.303278
-1.7669,-0.321083
-1.7293,-0.337677
-1.6917,-0.352911
-1.6541,-0.366654
-1.6165,-0.378786
-1.5789,-0.389205
-1.5414,-0.397823
-1.5038,-0.404566
-1.4662,-0.409375
-1.4286,-0.412208
-1.3910,-0.413037
-1.3534,-0.411847
-1.3158,-0.408641
-1.2782,-0.403434
-1.2406,-0.396258
-1.2030,-0.387161
-1.1654,-0.376202
-1.1278,-0.363458
-1.0902,-0.349020
-1.0526,-0.332996
-1.0150,-0.315505
-0.9774,-0.296684
-0.9398,-0.276684
-0.9023,-0.255670
-0.8647,-0.233823
-0.8271,-0.211338
-0.7895,-0.188420
-0.7519,-0.165293
-0.7143,-0.142185
-0.6767,-0.119337
-0.6391,-0.096992
-0.6015,-0.075392
-0.5639,-0.054774
-0.5263,-0.035357
-0.4887,-0.017337
-0.4511,-0.000877
-0.4135,0.013905
-0.3759,0.026937
-0.3383,0.038205
-0.3008,0.047747
-0.2632,0.055655
-0.2256,0.062064
-0.1880,0.067147
-0.1504,0.071103
-0.1128,0.074145
-0.0752,0.076494
-0.0376,0.078372
0.0000,0.080000
0.0376,0.081597
0.0752,0.083382
0.1128,0.085576
0.1504,0.088401
0.1880,0.092078
0.2256,0.096821
0.2632,0.102829
0.3008,0.110273
0.3383,0.119290
0.3759,0.129973
0.4135,0.142359
0.4511,0.156434
0.4887,0.172127
0.5263,0.189320
0.5639,0.207850
0.6015,0.227522
0.6391,0.248117
0.6767,0.269398
0.7143,0.291125
0.7519,0.313053
0.7895,0.334944
0.8271,0.356568
0.8647,0.377704
0.9023,0.398146
