x_H,Cp
-5.0000,0.000000
-4.9624,0.000000
-4.9248,0.000000
-4.8872,0.000000
-4.8496,0.000000
-4.8120,0.000000
-4.7744,0.000000
-4.7368,0.000000
-4.6992,0.000000
-4.6617,0.000000
-4.6241,0.000000
-4.5865,0.000000
-4.5489,0.000000
-4.5113,0.000000
-4.4737,0.000000
-4.4361,0.000000
-4.3985,0.000000
-4.3609,0.000000
-4.3233,0.000000
-4.2857,0.000000
-4.2481,0.000000
-4.2105,0.000000
-4.1729,0.000000
-4.1353,0.000000
-4.0977,0.000000
-4.0602,0.000000
-4.0226,0.000000
-3.9850,0.000000
-3.9474,0.000000
-3.9098,0.000000
-3.8722,0.000000
-3.8346,0.000000
-3.7970,0.000000
-3.7594,0.000000
-3.7218,0.000000
-3.6842,0.000000
-3.6466,0.000000
-3.6090,0.000000
-3.5714,0.000000
-3.5338,0.000000
-3.4962,0.000000
-3.4586,0.000000
-3.4211,0.000000
-3.3835,0.000000
-3.3459,0.000000
-3.3083,0.000000
-3.2707,-0.000000
-3.2331,-0.000000
-3.1955,-0.000000
-3.1579,-0.000001
-3.1203,-0.000003
-3.0827,-0.000008
-3.0451,-0.000018
-3.0075,-0.000039
-2.9699,-0.000079
-2.9323,-0.000152
-2.8947,-0.000282
-2.8571,-0.000504
-2.8195,-0.000872
-2.7820,-0.001461
-2.7444,-0.002374
-2.7068,-0.003745
-2.6692,-0.005743
-2.6316,-0.008568
-2.5940,-0.012448
-2.5564,-0.017629
-2.5188,-0.024361
-2.4812,-0.032886
-2.4436,-0.043414
-2.4060,-0.056112
-2.3684,-0.071087
-2.3308,-0.088378
-2.2932,-0.107952
-2.2556,-0.129706
-2.2180,-0.153469
-2.1805,-0.179019
-2.1429,-0.206089
-2.1053,-0.234382
-2.0677,-0.263582
-2.0301,-0.293365
-1.9925,-0.323407
-1.9549,-0.353392
-1.9173,-0.383012
-1.8797,-0.411977
-1.8421,-0.440013
-1.8045,-0.466864
-1.7669,-0.492293
-1.7293,-0.516082
-1.6917,-0.538034
-1.6541,-0.557970
-1.6165,-0.575733
-1.5789,-0.591184
-1.5414,-0.604204
-1.5038,-0.614697
-1.4662,-0.622583
-1.4286,-0.627804
-1.3910,-0.630321
-1.3534,-0.630117
-1.3158,-0.627192
-1.2782,-0.621568
-1.2406,-0.613287
-1.2030,-0.602410
-1.1654,-0.589018
-1.1278,-0.573213
-1.0902,-0.555115
-1.0526,-0.534866
-1.0150,-0.512627
-0.9774,-0.488578
-0.9398,-0.462922
-0.9023,-0.435877
-0.8647,-0.407685
-0.8271,-0.378604
-0.7895,-0.348910
-0.7519,-0.318897
-0.7143,-0.288873
-0.6767,-0.259157
-0.6391,-0.230072
-0.6015,-0.201943
-0.5639,-0.175083
-0.5263,-0.149785
-0.4887,-0.126310
-0.4511,-0.104874
-0.4135,-0.085636
-0.3759,-0.068690
-0.3383,-0.054057
-0.3008,-0.041684
-0.2632,-0.031449
-0.2256,-0.023172
-0.1880,-0.016621
-0.1504,-0.011532
-0.1128,-0.007620
-0.0752,-0.004591
-0.0376,-0.002149
0.0000,-0.000000
0.0376,0.002149
0.0752,0.004591
0.1128,0.007620
0.1504,0.011532
0.1880,0.016621
0.2256,0.023172
0.2632,0.031449
0.3008,0.041684
0.3383,0.054057
0.3759,0.068690
0.4135,0.085636
0.4511,0.104874
0.4887,0.126310
0.5263,0.149785
0.5639,0.175083
0.6015,0.201943
0.6391,0.230072
0.6767,0.259157
0.7143,0.288873
0.7519,0.318897
0.7895,0.348910
0.8271,0.378604
0.8647,0.407685
0.9023,0.435877
0.9398,0.462922
0.9774,0.488578
1.0150,0.512627
1.0526,0.534866
1.0902,0.555115
1.1278,0.573213
1.1654,0.589018
1.2030,0.452410
1.2406,0.463287
1.2782,0.471568
1.3158,0.477192
1.3534,0.480117
1.3910,0.480321
1.4286,0.477804
1.4662,0.472583
1.5038,0.464697
1.5414,0.454204
