x_H,Cf
-5.0000,0.00300000
-4.9624,0.00300000
-4.9248,0.00300000
-4.8872,0.00300000
-4.8496,0.00300000
-4.8120,0.00300000
-4.7744,0.00300000
-4.7368,0.00300000
-4.6992,0.00300000
-4.6617,0.00300000
-4.6241,0.00300000
-4.5865,0.00300000
-4.5489,0.00300000
-4.5113,0.00300000
-4.4737,0.00300000
-4.4361,0.00300000
-4.3985,0.00300000
-4.3609,0.00300000
-4.3233,0.00300000
-4.2857,0.00300000
-4.2481,0.00300000
-4.2105,0.00300000
-4.1729,0.00300000
-4.1353,0.00300000
-4.0977,0.00300000
-4.0602,0.00300000
-4.0226,0.00300000
-3.9850,0.00300000
-3.9474,0.00300000
-3.9098,0.00300000
-3.8722,0.00300000
-3.8346,0.00300000
-3.7970,0.00300000
-3.7594,0.00300000
-3.7218,0.00300000
-3.6842,0.00300000
-3.6466,0.00300000
-3.6090,0.00300000
-3.5714,0.00300000
-3.5338,0.00300000
-3.4962,0.00300000
-3.4586,0.00300000
-3.4211,0.00300000
-3.3835,0.00300000
-3.3459,0.00300000
-3.3083,0.00300000
-3.2707,0.00300000
-3.2331,0.00300000
-3.1955,0.00300000
-3.1579,0.00300000
-3.1203,0.00300000
-3.0827,0.00300000
-3.0451,0.00300000
-3.0075,0.00300000
-2.9699,0.00300000
-2.9323,0.00300000
-2.8947,0.00300000
-2.8571,0.00300000
-2.8195,0.00300000
-2.7820,0.00300000
-2.7444,0.00300000
-2.7068,0.00300000
-2.6692,0.00300000
-2.6316,0.00300000
-2.5940,0.00300000
-2.5564,0.00300000
-2.5188,0.00300000
-2.4812,0.00302531
-2.4436,0.00307589
-2.4060,0.00312639
-2.3684,0.00317675
-2.3308,0.00322690
-2.2932,0.00327679
-2.2556,0.00332638
-2.2180,0.00337558
-2.1805,0.00342436
-2.1429,0.00347266
-2.1053,0.00352042
-2.0677,0.00356759
-2.0301,0.00361411
-1.9925,0.00365993
-1.9549,0.00370500
-1.9173,0.00374927
-1.8797,0.00379268
-1.8421,0.00383520
-1.8045,0.00387676
-1.7669,0.00391732
-1.7293,0.00395684
-1.6917,0.00399527
-1.6541,0.00403256
-1.6165,0.00406868
-1.5789,0.00410359
-1.5414,0.00413723
-1.5038,0.00416958
-1.4662,0.00420061
-1.4286,0.00423026
-1.3910,0.00425851
-1.3534,0.00428533
-1.3158,0.00431069
-1.2782,0.00433455
-1.2406,0.00435690
-1.2030,0.00437770
-1.1654,0.00439693
-1.1278,0.00441457
-1.0902,0.00443060
-1.0526,0.00444500
-1.0150,0.00445775
-0.9774,0.00446885
-0.9398,0.00447827
-0.9023,0.00448601
-0.8647,0.00449206
-0.8271,0.00449641
-0.7895,0.00449906
-0.7519,0.00450000
-0.7143,0.00449923
-0.6767,0.00449675
-0.6391,0.00449257
-0.6015,0.00448670
-0.5639,0.00447912
-0.5263,0.00446987
-0.4887,0.00445894
-0.4511,0.00444635
-0.4135,0.00443211
-0.3759,0.00441624
-0.3383,0.00439876
-0.3008,0.00437969
-0.2632,0.00435905
-0.2256,0.00433685
-0.1880,0.00431314
-0.1504,0.00428793
-0.1128,0.00426126
-0.0752,0.00423315
-0.0376,0.00420363
0.0000,0.00417275
0.0376,0.00414053
0.0752,0.00410701
0.1128,0.00407223
0.1504,0.00403623
0.1880,0.00399905
0.2256,0.00396073
0.2632,0.00392132
0.3008,0.00388086
0.3383,0.00383940
0.3759,0.00379698
0.4135,0.00375365
0.4511,0.00370947
0.4887,0.00366447
0.5263,0.00361872
0.5639,0.00357227
0.6015,0.00352517
0.6391,0.00347746
0.6767,0.00342922
0.7143,0.00338048
0.7519,0.00333131
0.7895,0.00328177
0.8271,0.00323190
0.8647,0.00318177
0.9023,0.00313143
0.9398,0.00308095
0.9774,0.00303037
1.0150,-0.00000840
1.0526,-0.00002939
1.0902,-0.00005036
1.1278,-0.00007129
1.1654,-0.00009218
1.2030,-0.00011300
1.2406,-0.00013375
1.2782,-0.00015440
1.3158,-0.00017494
1.3534,-0.00019537
1.3910,-0.00021566
1.4286,-0.00023580
1.4662,-0.00025578
1.5038,-0.00027559
1.5414,-0.00029520
1.5789,-0.00031461
1.6165,-0.00033381
1.6541,-0.00035277
1.6917,-0.00037149
1.7293,-0.00038996
1.7669,-0.00040815
1.8045,-0.00042607
1.8421,-0.00044369
1.8797,-0.00046101
1.9173,-0.00047801
1.9549,-0.00049468
1.9925,-0.00051101
2.0301,-0.00052698
2.0677,-0.00054260
2.1053,-0.00055784
2.1429,-0.00057269
2.1805,-0.00058716
2.2180,-0.00060121
2.2556,-0.00061486
2.2932,-0.00062807
2.3308,-0.00064086
2.3684,-0.00065321
2.4060,-0.00066510
2.4436,-0.00067654
2.4812,-0.00068751
2.5188,-0.00069801
2.5564,-0.00070803
2.5940,-0.00071756
2.6316,-0.00072659
2.6692,-0.00073513
2.7068,-0.00074315
2.7444,-0.00075067
2.7820,-0.00075767
2.8195,-0.00076415
2.8571,-0.00077010
2.8947,-0.00077552
2.9323,-0.00078041
2.9699,-0.00078476
3.0075,-0.00078856
3.0451,-0.00079183
3.0827,-0.00079455
3.1203,-0.00079672
3.1579,-0.00079835
3.1955,-0.00079942
3.2331,-0.00079994
3.2707,-0.00079992
3.3083,-0.00079934
3.3459,-0.00079821
3.3835,-0.00079653
3.4211,-0.00079430
3.4586,-0.00079153
3.4962,-0.00078821
3.5338,-0.00078435
3.5714,-0.00077994
3.6090,-0.00077500
3.6466,-0.00076953
3.6842,-0.00076352
3.7218,-0.00075699
3.7594,-0.00074994
3.7970,-0.00074237
3.8346,-0.00073430
3.8722,-0.00072571
3.9098,-0.00071663
3.9474,-0.00070705
3.9850,-0.00069698
4.0226,-0.00068644
4.0602,-0.00067542
4.0977,-0.00066393
4.1353,-0.00065199
4.1729,-0.00063960
4.2105,-0.00062677
4.2481,-0.00061351
4.2857,-0.00059982
4.3233,-0.00058573
4.3609,-0.00057123
4.3985,-0.00055633
4.4361,-0.00054105
4.4737,-0.00052540
4.5113,-0.00050939
4.5489,-0.00049303
4.5865,-0.00047632
4.6241,-0.00045929
4.6617,-0.00044194
4.6992,-0.00042429
4.7368,-0.00040635
4.7744,-0.00038812
4.8120,-0.00036963
4.8496,-0.00035089
4.8872,-0.00033190
4.9248,-0.00031268
4.9624,-0.00029325
5.0000,-0.00027362
5.0376,-0.00025379
5.0752,-0.00023380
5.1128,-0.00021364
5.1504,-0.00019333
5.1880,-0.00017290
5.2256,-0.00015234
5.2632,-0.00013168
5.3008,-0.00011092
5.3383,-0.00009009
5.3759,-0.00006920
5.4135,-0.00004826
5.4511,-0.00002729
5.4887,-0.00000630
5.5263,0.00015381
5.5639,0.00035996
5.6015,0.00055118
5.6391,0.00072855
5.6767,0.00089308
5.7143,0.00104568
5.7519,0.00118724
5.7895,0.00131854
5.8271,0.00144033
5.8647,0.00155329
5.9023,0.00165808
5.9398,0.00175528
5.9774,0.00184543
6.0150,0.00192906
6.0526,0.00200663
6.0902,0.00207858
