x_H,Cp
-5.0000,0.035355
-4.9624,0.034296
-4.9248,0.033207
-4.8872,0.032089
-4.8496,0.030943
-4.8120,0.029770
-4.7744,0.028571
-4.7368,0.027347
-4.6992,0.026100
-4.6617,0.024829
-4.6241,0.023537
-4.5865,0.022225
-4.5489,0.020893
-4.5113,0.019543
-4.4737,0.018175
-4.4361,0.016792
-4.3985,0.015395
-4.3609,0.013984
-4.3233,0.012560
-4.2857,0.011126
-4.2481,0.009682
-4.2105,0.008230
-4.1729,0.006770
-4.1353,0.005305
-4.0977,0.003835
-4.0602,0.002361
-4.0226,0.000886
-3.9850,-0.000591
-3.9474,-0.002066
-3.9098,-0.003540
-3.8722,-0.005011
-3.8346,-0.006478
-3.7970,-0.007938
-3.7594,-0.009392
-3.7218,-0.010838
-3.6842,-0.012274
-3.6466,-0.013700
-3.6090,-0.015113
-3.5714,-0.016514
-3.5338,-0.017900
-3.4962,-0.019270
-3.4586,-0.020624
-3.4211,-0.021960
-3.3835,-0.023276
-3.3459,-0.024573
-3.3083,-0.025847
-3.2707,-0.027100
-3.2331,-0.028328
-3.1955,-0.029533
-3.1579,-0.030712
-3.1203,-0.031866
-3.0827,-0.032995
-3.0451,-0.034101
-3.0075,-0.035189
-2.9699,-0.036268
-2.9323,-0.037352
-2.8947,-0.038466
-2.8571,-0.039649
-2.8195,-0.040958
-2.7820,-0.042477
-2.7444,-0.044319
-2.7068,-0.046631
-2.6692,-0.049598
-2.6316,-0.053442
-2.5940,-0.058412
-2.5564,-0.064781
-2.5188,-0.072826
-2.4812,-0.082810
-2.4436,-0.094968
-2.4060,-0.109483
-2.3684,-0.126472
-2.3308,-0.145979
-2.2932,-0.167967
-2.2556,-0.192320
-2.2180,-0.218852
-2.1805,-0.247315
-2.1429,-0.277414
-2.1053,-0.308821
-2.0677,-0.341188
-2.0301,-0.374155
-1.9925,-0.407364
-1.9549,-0.440466
-1.9173,-0.473123
-1.8797,-0.505012
-1.8421,-0.535831
-1.8045,-0.565297
-1.7669,-0.593149
-1.7293,-0.619146
-1.6917,-0.643069
-1.6541,-0.664724
-1.6165,-0.683934
-1.5789,-0.700549
-1.5414,-0.714437
-1.5038,-0.725490
-1.4662,-0.733623
-1.4286,-0.738771
-1.3910,-0.740893
-1.3534,-0.739968
-1.3158,-0.736000
-1.2782,-0.729012
-1.2406,-0.719050
-1.2030,-0.706184
-1.1654,-0.690503
-1.1278,-0.672121
-1.0902,-0.651172
-1.0526,-0.627813
-1.0150,-0.602223
-0.9774,-0.574603
-0.9398,-0.545175
-0.9023,-0.514184
-0.8647,-0.481897
-0.8271,-0.448599
-0.7895,-0.414599
-0.7519,-0.380221
-0.7143,-0.345807
-0.6767,-0.311709
-0.6391,-0.278287
-0.6015,-0.245899
-0.5639,-0.214894
-0.5263,-0.185597
-0.4887,-0.158296
-0.4511,-0.133233
-0.4135,-0.110584
-0.3759,-0.090452
-0.3383,-0.072864
-0.3008,-0.057761
-0.2632,-0.045012
-0.2256,-0.034416
-0.1880,-0.025721
-0.1504,-0.018634
-0.1128,-0.012843
-0.0752,-0.008024
-0.0376,-0.003851
0.0000,-0.000000
0.0376,0.003851
0.0752,0.008024
0.1128,0.012843
0.1504,0.018634
0.1880,0.025721
0.2256,0.034416
0.2632,0.045012
0.3008,0.057761
0.3383,0.072864
0.3759,0.090452
0.4135,0.110584
0.4511,0.133233
0.4887,0.158296
0.5263,0.185597
0.5639,0.214894
0.6015,0.245899
0.6391,0.278287
0.6767,0.311709
0.7143,0.345807
0.7519,0.380221
0.7895,0.414599
0.8271,0.448599
0.8647,0.481897
0.9023,0.514184
0.9398,0.545175
0.9774,0.574603
1.0150,0.602223
1.0526,0.627813
1.0902,0.651172
1.1278,0.672121
1.1654,0.690503
1.2030,0.540434
1.2406,0.553300
1.2782,0.563262
1.3158,0.570250
1.3534,0.574218
1.3910,0.575143
1.4286,0.573021
1.4662,0.567873
1.5038,0.559740
1.5414,0.548687
1.5789,0.534799
1.6165,0.518184
1.6541,0.498974
1.6917,0.477319
1.7293,0.453396
1.7669,0.427399
1.8045,0.399547
1.8421,0.370081
1.8797,0.339262
1.9173,0.307373
1.9549,0.274716
1.9925,0.241614
2.0301,0.208405
2.0677,0.175438
2.1053,0.143071
2.1429,0.111664
2.1805,0.081565
2.2180,0.053102
2.2556,0.026570
2.2932,0.002217
2.3308,-0.019771
2.3684,-0.039278
2.4060,-0.056267
2.4436,-0.070782
2.4812,-0.082940
2.5188,-0.092924
2.5564,-0.100969
2.5940,-0.107338
2.6316,-0.112308
2.6692,-0.116152
2.7068,-0.119119
2.7444,-0.121431
2.7820,-0.123273
2.8195,-0.124792
2.8571,-0.126101
2.8947,-0.127284
2.9323,-0.128398
2.9699,-0.129482
3.0075,-0.130561
3.0451,-0.131649
3.0827,-0.132755
3.1203,-0.133884
3.1579,-0.135038
3.1955,-0.136217
3.2331,-0.137422
3.2707,-0.138650
3.3083,-0.139903
3.3459,-0.141177
3.3835,-0.142474
3.4211,-0.143790
3.4586,-0.145126
3.4962,-0.146480
3.5338,-0.147850
3.5714,-0.149236
3.6090,-0.150637
3.6466,-0.152050
3.6842,-0.153476
3.7218,-0.154912
3.7594,-0.156358
3.7970,-0.157812
3.8346,-0.159272
3.8722,-0.160739
3.9098,-0.162210
3.9474,-0.163684
3.9850,-0.165159
4.0226,-0.166636
4.0602,-0.168111
4.0977,-0.169585
4.1353,-0.171055
4.1729,-0.172520
4.2105,-0.173980
4.2481,-0.175432
4.2857,-0.176876
4.3233,-0.178310
4.3609,-0.179734
4.3985,-0.181145
4.4361,-0.182542
4.4737,-0.183925
4.5113,-0.019543
4.5489,-0.020893
4.5865,-0.022225
4.6241,-0.023537
4.6617,-0.024829
4.6992,-0.026100
4.7368,-0.027347
4.7744,-0.028571
4.8120,-0.029770
4.8496,-0.030943
4.8872,-0.032089
4.9248,-0.033207
4.9624,-0.034296
5.0000,-0.035355
5.0376,-0.036384
5.0752,-0.037380
5.1128,-0.038344
5.1504,-0.039275
5.1880,-0.040171
5.2256,-0.041033
5.2632,-0.041858
5.3008,-0.042647
5.3383,-0.043399
5.3759,-0.044113
5.4135,-0.044789
5.4511,-0.045426
5.4887,-0.046023
5.5263,-0.046580
5.5639,-0.047096
5.6015,-0.047571
5.6391,-0.048005
5.6767,-0.048397
5.7143,-0.048746
5.7519,-0.049054
5.7895,-0.049318
5.8271,-0.049540
5.8647,-0.049718
5.9023,-0.049853
5.9398,-0.049944
5.9774,-0.049992
6.0150,-0.049997
6.0526,-0.049957
6.0902,-0.049875
6.1278,-0.049748
6.1654,-0.049579
6.2030,-0.049366
6.2406,-0.049110
6.2782,-0.048811
6.3158,-0.048470
6.3534,-0.048087
6.3910,-0.047661
6.4286,-0.047194
6.4662,-0.046686
6.5038,-0.046137
6.5414,-0.045548
6.5789,-0.044920
6.6165,-0.044252
6.6541,-0.043545
6.6917,-0.042801
6.7293,-0.042019
6.7669,-0.041201
6.8045,-0.040346
6.8421,-0.039457
6.8797,-0.038533
6.9173,-0.037576
6.9549,-0.036586
6.9925,-0.035564
7.0301,-0.034510
7.0677,-0.033427
7.1053,-0.032315
7.1429,-0.031174
7.1805,-0.030007
7.2180,-0.028813
7.2556,-0.027594
7.2932,-0.026351
7.3308,-0.025085
7.3684,-0.023797
7.4060,-0.022489
7.4436,-0.021161
7.4812,-0.019814
7.5188,-0.018450
7.5564,-0.017070
7.5940,-0.015675
7.6316,-0.014267
7.6692,-0.012846
7.7068,-0.011414
7.7444,-0.009972
7.7820,-0.008521
7.8195,-0.007063
7.8571,-0.005598
7.8947,-0.004129
7.9323,-0.002656
7.9699,-0.001181
8.0075,0.000295
8.0451,0.001771
8.0827,0.003246
8.1203,0.004717
8.1579,0.006185
8.1955,0.007647
8.2331,0.009102
8.2707,0.010550
8.3083,0.011988
8.3459,0.013416
8.3835,0.014832
8.4211,0.016235
8.4586,0.017624
8.4962,0.018998
8.5338,0.020355
8.5714,0.021694
8.6090,0.023015
8.6466,0.024315
8.6842,0.025594
8.7218,0.026851
8.7594,0.028085
8.7970,0.029294
8.8346,0.030477
8.8722,0.031634
8.9098,0.032763
8.9474,0.033864
8.9850,0.034935
9.0226,0.035976
9.0602,0.036986
9.0977,0.037963
9.1353,0.038907
9.1729,0.039817
9.2105,0.040692
9.2481,0.041532
9.2857,0.042336
9.3233,0.043103
9.3609,0.043832
9.3985,0.044523
9.4361,0.045176
9.4737,0.045789
9.5113,0.046362
9.5489,0.046894
9.5865,0.047386
9.6241,0.047836
9.6617,0.048245
9.6992,0.048612
9.7368,0.048936
9.7744,0.049217
9.8120,0.049456
9.8496,0.049652
9.8872,0.049804
9.9248,0.049913
9.9624,0.049978
10.0000,0.050000
